What is your sex?,What is your year?,What is your course?,What was your GWA in the previous semester at PLM?,What was your Senior High School strand?,What was your first choice upon applying to PLM?2,What was your second choice upon applying to PLM?3,What was your third choice upon applying to PLM?2,I do important decisions on my own,I considered the background of the school in choosing a particular course,I consider the  number of potential job opportunities as an important factor       ,I consider the level of salary offered by potential job opportunities as an important factor,Who decided for you to choose your course?, I find my skills aligned with my current course, I find my  interests aligned with my current course       ,I find my hobbies aligned with my current course,Who inspire or motivated in your choice of course?,I am having the best college experience       ,I find the class size affecting my interest in the course,I find the   class size stimulating in my learning experience,I am in a  group of friends in my current course who shares the same interests with me       2,I can easily get affected/influenced by my friends’ decision       3,How many are you in your section/block?, I find my expectations match with my current course’s curriculum content       , I like my current course       ,                  I can easily learn lessons from the   subjects that I am taking right now              , I feel like the subjects offered in my current course is lacking       ,I had trouble  choosing my course upon applying in PLM       ,I find my  entire educational experience at this course excellent       ,I am satisfied with the set of instructors in my current course       ,I consider my college offering an effective academic advising       , I worry that I am not good/performing   enough for my subjects       ,I experienced  an effective course advising in high school,"If you could start over again, would you choose the same course you are attending now?","If you will be given a chance to shift to a different course, would you grab the opportunity?"
Male,Third Year,BSBA_HRM,1.51-2.00,BAM,BSA,BSBA_FM,BSBA_HRM,Disagree,Agree,Agree,Agree,Family,Disagree,Disagree,Disagree,Myself,Disagree,N/A,N/A,Strongly Disagree,Strongly Disagree,31-50,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,No,Yes
Female,Third Year,BSBA_HRM,1.00-1.50,BAM,BSBA_HRM,BSA,BS_ENTRE,Agree,Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,Second Year,BSCE,1.00-1.50,STEM,BSCE,BSMath,BSPsy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Myself,Agree,Strongly Agree,Agree,Strongly Agree,Agree,31-50,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCpE,BMMP,Agree,Agree,Agree,Agree,Myself,Agree,Strongly Agree,Agree,Myself,Agree,Disagree,Disagree,Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,No,No
Female,Third Year,BSIT,1.51-2.00,HESS,BSIT,BSCpE,BAC,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Agree,Agree,Myself,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,31-50,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,No,Yes
Female,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSA,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Agree,Agree,Myself,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,No,No
Female,Second Year,BSIT,1.00-1.50,STEM,BSPsy,BSTM,BSA,Agree,Strongly Agree,Agree,Strongly Agree,Myself,Strongly Disagree,Disagree,Disagree,Myself,Disagree,Disagree,Disagree,Disagree,Strongly Agree,31-50,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,No,Yes
Female,First Year,BSCS,N/A,STEM,BSIT,BSCS,BSCpE,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Disagree,Agree,Strongly Disagree,Family,Agree,Disagree,Disagree,Agree,Agree,31-50,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Yes,No
Male,Third Year,BSCE,1.00-1.50,STEM,BSCE,BSN,BSBio,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Myself,Disagree,Agree,Agree,Disagree,Agree,31-50,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,No,No
Male,Third Year,BSIT,1.51-2.00,STEM,BSIT,BSMath,BSBio,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Myself,N/A,Disagree,Agree,Strongly Disagree,Strongly Disagree,31-50,Agree,Agree,N/A,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,No,No
Male,Third Year,BSA,1.51-2.00,BAM,BSA,BSBA_FM,BSBA_OM,Agree,Agree,Strongly Agree,Agree,Myself,Disagree,Disagree,Disagree,Myself,Disagree,Agree,Disagree,Agree,Disagree,31-50,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,No,No
Female,Third Year,BSTM,1.00-1.50,TVL,BSTM,BSHM,BSBA_OM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Myself,Strongly Agree,Disagree,Agree,Agree,Disagree,31-50,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Yes,No
Female,Third Year,BSCE,1.51-2.00,STEM,BSCHE,BSBio,BSCE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Myself,N/A,Disagree,Disagree,Agree,Agree,31-50,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,No,No
Male,Second Year,BSCE,2.51-3.00,STEM,BSCE,BSCE,BSCE,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Myself,Agree,Agree,Disagree,Myself,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,31-50,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Yes,No
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSBA_FM,BSCpE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,N/A,N/A,N/A,Myself,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,31-50,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSCS,1.51-2.00,TVL,BSIT,BSCS,BSCpE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Agree,Disagree,Myself,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,31-50,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,No,Yes
Male,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSECE,BSCpE,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,No
Male,Second Year,BSCS,1.00-1.50,STEM,BPA,BSPsy,BSCS,Agree,Agree,Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Myself,Disagree,Agree,Disagree,Disagree,Disagree,31-50,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,No,Yes
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSA,BSMath,Agree,Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Disagree,Agree,31-50,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Yes,No
Male,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCpE,BSCS,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,31-50,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Yes,No
Female,Third Year,BSCE,1.51-2.00,BAM,BSBA_MM,BSHM,BSEE,Agree,Disagree,Disagree,Agree,Myself,Disagree,Agree,Disagree,Myself,N/A,Agree,Agree,Agree,Disagree,31-50,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,No,Yes
Female,Third Year,BSCE,1.00-1.50,STEM,BSCE,BSCHE,BSMath,Strongly Agree,Strongly Agree,Agree,Agree,Myself,Agree,Strongly Agree,Agree,Myself,Agree,Disagree,Agree,Strongly Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Yes,No
Female,Second Year,BSME,1.00-1.50,STEM,BSCE,BSN,BSME,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Myself,Disagree,Disagree,Agree,Agree,Agree,31-50,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSCHE,2.01-2.50,STEM,BSMfgE,BSN,BSPT,Disagree,Disagree,Strongly Agree,Strongly Agree,Myself,Disagree,Strongly Disagree,Strongly Disagree,Myself,Strongly Disagree,Agree,Disagree,Disagree,Agree,31-50,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSTM,1.00-1.50,HESS,BSTM,BAC,BSPsy,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Myself,Strongly Agree,Agree,Agree,Agree,Agree,31-50,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,No
Male,Third Year,BSBA_HRM,1.00-1.50,BAM,BSBA_HRM,BSBio,BSREM,Agree,Disagree,Disagree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Myself,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,31-50,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,No,No
Female,Third Year,BSA,1.00-1.50,BAM,BSA,BSCE,BSTM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Myself,Agree,Strongly Agree,Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,No,No
Female,Second Year,BSHM,1.00-1.50,TVL,BSHM,BS_Arch,BSTM,Strongly Agree,Disagree,Disagree,Disagree,Myself,Disagree,Disagree,Disagree,Myself,Disagree,Agree,Agree,Disagree,Disagree,31-50,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,No,No
Male,Second Year,BSCE,1.51-2.00,STEM,BSCE,BSEE,BSME,Agree,Agree,N/A,N/A,Myself,N/A,Agree,N/A,Family,Agree,Disagree,Agree,Agree,Disagree,31-50,Agree,Agree,N/A,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Yes,No
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSN,BSBA_HRM,Agree,Agree,Strongly Agree,Strongly Agree,Family,Agree,Strongly Disagree,Strongly Disagree,Myself,Strongly Disagree,Agree,Agree,Agree,Disagree,31-50,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSIT,1.00-1.50,STEM,BSCS,BSIT,BSN,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,N/A,Agree,Agree,Agree,Disagree,31-50,Agree,Disagree,N/A,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Yes
Male,Third Year,BSCE,1.51-2.00,STEM,BSCE,BS_Arch,BSCpE,Strongly Agree,Strongly Agree,Agree,Agree,Family,Strongly Disagree,Disagree,Agree,Myself,Disagree,Disagree,Disagree,Agree,Disagree,31-50,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,No,No
Male,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSCS,BSCpE,Disagree,Agree,Agree,Strongly Agree,Myself,Disagree,Disagree,Strongly Disagree,Others,N/A,N/A,N/A,Agree,Disagree,31-50,Agree,Agree,Agree,Agree,N/A,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,No,Yes
Male,Second Year,BSCHE,1.51-2.00,STEM,BSCHE,BSChem,BSEE,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Disagree,Myself,Agree,Disagree,Agree,Disagree,Disagree,31-50,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Yes,No
Male,Second Year,BSTM,1.00-1.50,STEM,BSCS,BSTM,BSPsy,Agree,Disagree,Agree,Agree,Myself,Agree,Disagree,Strongly Disagree,Myself,Agree,Strongly Disagree,Disagree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSIT,1.00-1.50,STEM,BSCS,BSIT,BSCpE,Disagree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Agree,Disagree,31-50,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSCE,2.01-2.50,STEM,BSCE,BSEE,BSECE,Agree,Strongly Disagree,Agree,Disagree,Myself,Disagree,Agree,Disagree,Myself,Strongly Agree,Agree,Agree,Disagree,Agree,31-50,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Yes,No
Female,Second Year,BSCS,1.51-2.00,STEM,BSCS,BSCpE,BSCHE,Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Agree,Disagree,Disagree,Disagree,Strongly Disagree,31-50,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSBA_HRM,1.51-2.00,STEM,BSN,BS_Arch,BSBA_HRM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Myself,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,31-50,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,No,Yes
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSEd_Math,BS_Arch,Agree,Agree,Agree,Disagree,Myself,Agree,Agree,Agree,Family,Agree,N/A,N/A,Disagree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Yes,No
Female,Third Year,BSBA_HRM,1.00-1.50,BAM,BSBA_FM,BSBA_MM,BSBA_HRM,Strongly Agree,Agree,Agree,Disagree,Myself,Agree,Agree,Disagree,Others,N/A,Disagree,Agree,Agree,Disagree,31-50,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,No,No
Female,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSBio,BSCS,Disagree,Agree,Agree,Agree,Myself,Agree,Agree,Disagree,Professionals,Agree,Agree,Agree,Disagree,Agree,31-50,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,No
Female,Third Year,BSIT,1.00-1.50,TVL,BSTM,BSIT,BSN,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Strongly Agree,Disagree,Disagree,Agree,Agree,31-50,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,N/A,Strongly Disagree,Yes,No
Female,Third Year,BSIT,1.51-2.00,STEM,BSPsy,BSIT,BSCS,Agree,Disagree,Strongly Agree,Agree,Myself,Agree,Disagree,Disagree,Family,Disagree,Disagree,Agree,Agree,Disagree,31-50,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,No,Yes
Female,Second Year,BSHM,1.51-2.00,HESS,BSHM,BSBA_HRM,BAC,Strongly Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,No
Female,Third Year,BSCE,1.51-2.00,STEM,BS_Arch,BSCE,BAC,Strongly Agree,Disagree,Agree,Disagree,Myself,Disagree,Disagree,Disagree,Family,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,No,Yes
Female,Second Year,BSCE,1.51-2.00,SA,BS_Arch,BSCE,BECEd,Agree,Agree,Agree,Agree,Myself,Disagree,Disagree,Disagree,Family,Agree,Disagree,Disagree,Agree,Strongly Disagree,31-50,Disagree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Yes,No
Male,Second Year,BSIT,1.51-2.00,TVL,BSIT,BSBA_MM,BEEd,Agree,Agree,Strongly Agree,Agree,Myself,Agree,Strongly Agree,Agree,Family,Agree,Disagree,Agree,Agree,Agree,31-50,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
Male,Third Year,BSCE,1.51-2.00,STEM,BSCE,BPEd,BPEd,Agree,Disagree,Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Agree,Disagree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Yes,No
Male,Third Year,BSIT,1.51-2.00,HESS,BSPsy,BSIT,BPEd,Agree,Agree,Agree,Agree,Myself,Disagree,Agree,Disagree,Family,Agree,Disagree,Disagree,Disagree,Agree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSA,2.01-2.50,BAM,BSA,BSEd_Math,BPA,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Family,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,31-50,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSCE,2.01-2.50,STEM,BSCE,BAC,BPA,Agree,Strongly Agree,Agree,Disagree,Myself,Disagree,Agree,Disagree,Family,Agree,Agree,Agree,Agree,Strongly Disagree,31-50,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,No,No
Female,Third Year,BSBA_HRM,1.51-2.00,HESS,BAC,BSBA_HRM,BMMP,Disagree,Disagree,Disagree,Agree,Myself,Strongly Disagree,Strongly Disagree,Strongly Disagree,Family,Strongly Disagree,Agree,Agree,Agree,Agree,31-50,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,No,Yes
Male,Third Year,BSTM,1.00-1.50,BAM,BSTM,BSHM,BMMP,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Disagree,Disagree,Agree,Agree,31-50,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Yes,No
Female,Second Year,BSCE,1.00-1.50,STEM,BSCE,BSME,BMMP,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Agree,Disagree,Family,Agree,Disagree,Agree,Strongly Agree,Agree,31-50,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Yes,Yes
Male,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BMMP,Disagree,Agree,Agree,Agree,Myself,Disagree,Disagree,Disagree,Family,Disagree,Disagree,Disagree,Agree,Agree,31-50,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,No,Yes
Male,Third Year,BSIT,1.51-2.00,STEM,BSEE,BSIT,BMMP,Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Family,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,31-50,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,No,No
Male,First Year,BSIT,N/A,TVL,BSIT,BSEd_Eng,BMMP,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Strongly Agree,Family,Agree,Disagree,Agree,Strongly Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes,Yes
Male,Third Year,BSCE,2.01-2.50,BAM,BSCE,BSA,BS_Arch,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Yes,No
Male,Second Year,BSCE,1.00-1.50,STEM,BSCE,BSBio,BS_Arch,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Disagree,Agree,Agree,Agree,Disagree,31-50,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,No,Yes
Female,Second Year,BSCE,1.00-1.50,STEM,BSCE,BSCpE,BS_Arch,Agree,Agree,Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSCE,1.51-2.00,TVL,BSCE,BSCpE,BS_Arch,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Strongly Agree,Agree,Agree,Agree,Agree,31-50,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Yes,No
Female,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSCS,BS_Arch,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Disagree,Family,Agree,Disagree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
Male,Second Year,BSCE,1.51-2.00,STEM,BSCE,BSEE,BS_Arch,Agree,Strongly Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Disagree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,No
Male,Third Year,BSCE,1.51-2.00,STEM,BSCE,BSEE,BS_Arch,Agree,Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Family,Disagree,Agree,Agree,Agree,Disagree,31-50,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Yes,No
Female,Second Year,BSCE,1.51-2.00,STEM,BSCE,BSEE,BS_Arch,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Family,Agree,Agree,Agree,Strongly Agree,Agree,31-50,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Yes,No
Male,Second Year,BSCE,1.51-2.00,STEM,BSCE,BS_ENTRE,BS_Arch,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Disagree,Agree,Agree,Agree,Strongly Agree,31-50,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,No,Yes
Male,Second Year,BSCE,1.51-2.00,TVL,BSCE,BSMath,BS_Arch,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Disagree,Agree,31-50,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Yes,Yes
Female,Second Year,BSCE,1.51-2.00,STEM,BSCE,BSME,BS_Arch,Strongly Agree,Disagree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Disagree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Yes,Yes
Male,Second Year,BSCE,1.00-1.50,STEM,BSCE,BSME,BS_Arch,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Family,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,31-50,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Yes,No
Female,Second Year,BS_ENTRE,1.51-2.00,BAM,BSBA_HRM,BSMath,BSA,Strongly Agree,Strongly Agree,Agree,Agree,Myself,Disagree,Disagree,Disagree,Family,Disagree,N/A,N/A,Agree,Agree,31-50,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSCpE,1.51-2.00,HESS,BSCE,BSCpE,BS_Arch,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Family,Agree,Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,No,Yes
Male,Third Year,BSCpE,1.00-1.50,SA,BSCE,BSCpE,BS_Arch,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Disagree,Agree,Agree,Strongly Disagree,Disagree,31-50,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Yes,No
Male,Third Year,BSIT,1.00-1.50,BAM,BSIT,BSA,BS_Arch,Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Agree,Family,Agree,Disagree,Disagree,Disagree,Disagree,31-50,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Yes,No
Male,Third Year,BSIT,1.00-1.50,BAM,BSIT,BSA,BS_Arch,Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Agree,Family,Disagree,Disagree,Disagree,Disagree,Disagree,31-50,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Yes,No
Male,Second Year,BSIT,1.00-1.50,STEM,BSIT,BSCS,BS_Arch,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,Yes
