sex,year,current_course,gwa,strand,first_choice,second_choice,third_choice,decision_making1,decision_making2,decision_making3,decision_making4,decision_making5,decision_making6,decision_making7,decision_making8,personal_assessment1,personal_assessment2,personal_assessment3,course_environment1,course_environment2,course_environment3,course_environment4,course_environment5,course_satisfaction1,course_satisfaction2,course_satisfaction3,course_satisfaction4,academic_experience1,academic_experience2,academic_experience3,academic_experience4,academic_experience5,academic_experience6,academic_experience7,same_course,different_course
Male,Third Year,BSIT,1.51-2.00,TVL,BSIT,BSCpE,BSCS,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Myself,Myself,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Yes,No
Male,Third Year,BSIT,1.51-2.00,STEM,BSIT,BSCpE,BSCS,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Myself,Relatives,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,31-50,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Yes,No
Male,Second Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSCpE,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Myself,Myself,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,31-50,Disagree,Agree,Disagree,Disagree,N/A,Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,Yes
Male,Third Year,BSIT,1.00-1.50,TVL,BSCpE,BSIT,BSA,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Teachers,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,31-50,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes,Yes
Male,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSEdEng,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Myself,Myself,Agree,Agree,Disagree,Disagree,Disagree,N/A,Agree,31-50,N/A,Strongly Agree,Disagree,N/A,N/A,Disagree,Agree,Agree,Agree,Strongly Agree,N/A,Yes,No
Female,Third Year,BSIT,1.51-2.00,HESS,BSPsy,BSIT,BSPT,Agree,N/A,Agree,Strongly Agree,Strongly Agree,N/A,Myself,Myself,Disagree,Agree,Disagree,N/A,N/A,Strongly Disagree,Disagree,31-50,N/A,Agree,Disagree,N/A,Agree,N/A,N/A,N/A,N/A,Agree,N/A,Yes,No
Male,Third Year,BSIT,2.51-3.00,STEM,BSME,BSEE,BSIT,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Parents,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,10-30,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Yes,No
Male,Second Year,BSIT,1.51-2.00,TVL,BSPsy,BSPT,BSIT,Strongly Agree,Strongly Agree,N/A,Disagree,Disagree,N/A,Myself,Parents,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,31-50,Disagree,N/A,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,No,Yes
Female,Third Year,BSIT,1.51-2.00,BAM,BSPsy,BSIT,BPA,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Relatives,Relatives,Agree,N/A,N/A,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSIT,1.51-2.00,STEM,BSCE,BSIT,BSCpE,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Parents,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,31-50,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Yes,No
Female,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSCpE,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Myself,Parents,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,31-50,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,No,Yes
Female,Second Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSCpE,Disagree,Disagree,Disagree,Agree,Agree,Agree,Myself,Parents,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,N/A,Yes,No
Female,Third Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSBAHRM,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Parents,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,31-50,N/A,N/A,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSCpE,Agree,Disagree,Agree,Agree,Agree,Agree,Myself,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,No,Yes
Male,Second Year,BSIT,2.01-2.50,HESS,BSIT,BSEdSS,BSEdSS,Agree,Agree,Agree,Agree,Agree,Agree,Myself,Parents,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,31-50,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSCS,BSA,Strongly Agree,Agree,N/A,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Parents,Agree,Agree,Strongly Agree,N/A,N/A,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Yes,No
Female,Second Year,BSIT,1.51-2.00,STEM,BSECE,BSEE,BSPsy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Other,Myself,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,10-30,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,Yes
Female,Second Year,BSIT,1.00-1.50,BAM,BSArch,BSIT,BSTM,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Parents,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,31-50,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,N/A,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Yes,Yes
Female,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSN,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Relatives,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,31-50,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSIT,1.00-1.50,STEM,BSPT,BSIT,BSN,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Parents,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSN,BSA,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Myself,Teachers,Agree,Agree,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,No,Yes
Male,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSCS,BSCpE,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Relatives,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,31-50,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Yes,No
Male,Second Year,BSIT,2.51-3.00,TVL,BSArch,BSIT,BAC,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Myself,Myself,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,10-30,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Female,Second Year,BSIT,1.00-1.50,STEM,BSPsy,BSTM,BSA,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Myself,Myself,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,31-50,Disagree,Disagree,Disagree,Agree,N/A,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSIT,1.51-2.00,HESS,BPA,BSIT,BMMP,Agree,Agree,Agree,Agree,Agree,Agree,Parents,Parents,Agree,Agree,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Male,First Year,BSIT,N/A,TVL,BSIT,BSEdEng,BMMP,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Parents,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,N/A,Yes,Yes
Female,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSEdEng,BSEdFil,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Parents,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,31-50,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Yes,Yes
Male,Second Year,BSIT,2.51-3.00,STEM,BSIT,BSN,BSPsy,Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Myself,Teachers,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,No
Female,Third Year,BSIT,1.00-1.50,BAM,BSA,BSBAFM,BSIT,Agree,Agree,Agree,Agree,Agree,Disagree,Myself,Other,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,31-50,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Yes,No
Male,Second Year,BSIT,1.00-1.50,STEM,BSIT,BSCS,BSCpE,Strongly Agree,N/A,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,31-50,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,N/A,Agree,Strongly Agree,Agree,Disagree,Agree,Yes,No
Male,Third Year,BSIT,1.00-1.50,STEM,BSCpE,BSIT,BSCS,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Myself,Teachers,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,No,Yes
Female,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSCpE,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Parents,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Yes,No
Male,Second Year,BSIT,1.51-2.00,STEM,BSIT,BSCS,BSEdEng,Agree,Agree,Disagree,Disagree,Disagree,Agree,Myself,Parents,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,N/A,Agree,Disagree,31-50,Strongly Agree,Strongly Agree,Agree,N/A,N/A,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Yes,No
Male,Second Year,BSIT,1.00-1.50,STEM,BSIT,BSMfgE,BSME,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Myself,Parents,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,31-50,Agree,Agree,N/A,Agree,Agree,Strongly Disagree,N/A,Agree,Agree,Strongly Agree,N/A,Yes,Yes
Male,Third Year,BSIT,1.00-1.50,TVL,BSME,BSCS,BSIT,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Myself,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Agree,Agree,Agree,51-70,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,No,No
Male,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSHM,BSTM,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Parents,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Yes,No
Male,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSPsy,BSCpE,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Parents,Strongly Agree,Strongly Agree,Strongly Agree,N/A,N/A,N/A,N/A,31-50,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,N/A,N/A,Strongly Agree,Yes,No
Male,Second Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSBAFM,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Parents,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,Yes
Female,Second Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSPsy,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,N/A,Myself,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,31-50,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
Male,Third Year,BSIT,1.51-2.00,HESS,BSCE,BSIT,BSPsy,Disagree,Disagree,N/A,Agree,Agree,N/A,Myself,Relatives,Disagree,Agree,Disagree,Agree,Agree,N/A,N/A,31-50,Agree,Agree,N/A,N/A,Disagree,Disagree,N/A,N/A,N/A,Agree,N/A,Yes,No
Male,Third Year,BSIT,1.00-1.50,STEM,BSCS,BSME,BSCpE,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Myself,Parents,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,31-50,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Yes,Yes
Female,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSA,BSBAHRM,Agree,Agree,N/A,Strongly Agree,Strongly Agree,N/A,Myself,Teachers,N/A,Disagree,Strongly Disagree,N/A,N/A,N/A,Agree,31-50,N/A,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,N/A,N/A,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSBio,BSCS,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,N/A,Agree,No,No
Male,Third Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSCpE,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Parents,Parents,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,10-30,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,No
Female,Second Year,BSIT,1.00-1.50,STEM,BSCE,BSBAFM,BSBAMM,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Myself,Parents,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,N/A,10-30,Disagree,Agree,Disagree,N/A,Disagree,Disagree,Agree,Disagree,Strongly Disagree,N/A,Agree,No,Yes
Male,Third Year,BSIT,2.51-3.00,BAM,BSIT,BSCpE,BSCS,Agree,Agree,Agree,Agree,Agree,Agree,Myself,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,10-30,Agree,Agree,Disagree,Agree,N/A,N/A,Agree,Disagree,Disagree,Agree,Disagree,Yes,No
Female,First Year,BSIT,N/A,BAM,BSIT,BSEE,BSBAHRM,Agree,Agree,N/A,Strongly Agree,Strongly Agree,Disagree,Myself,Parents,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,51-70,Disagree,Disagree,Agree,Agree,N/A,N/A,Agree,Agree,Agree,Strongly Agree,N/A,No,Yes
Male,First Year,BSIT,N/A,STEM,BSArch,BSIT,BSCE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Siblings,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,51-70,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,N/A,N/A,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Yes,No
Male,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSArch,BSBio,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Myself,Siblings,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,31-50,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,No,No
Female,Second Year,BSIT,1.51-2.00,TVL,BSCE,BSIT,BSME,Agree,Agree,N/A,Agree,Agree,N/A,Myself,Myself,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31-50,N/A,N/A,N/A,N/A,N/A,Agree,N/A,N/A,N/A,Agree,N/A,No,Yes
Male,Third Year,BSIT,1.51-2.00,STEM,BSCE,BSIT,BSME,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Myself,Relatives,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,Yes,No
Male,Second Year,BSIT,1.51-2.00,STEM,BSECE,BSN,BMMP,Agree,Disagree,Agree,Agree,Agree,Disagree,Other,Parents,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,51-70,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,No,Yes
Female,Second Year,BSIT,1.51-2.00,TVL,BSIT,BSN,BAC,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Parents,Teachers,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,51-70,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSIT,1.00-1.50,STEM,BSME,BSCpE,BSIT,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Myself,Parents,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,31-50,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Yes,No
Male,Third Year,BSIT,1.51-2.00,STEM,BSIT,BSPsy,BSArch,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Myself,Other,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,31-50,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Female,Second Year,BSIT,1.00-1.50,STEM,BSIT,BSBAMM,BSPsy,Agree,Disagree,Disagree,Agree,Agree,Disagree,Parents,Parents,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,10-30,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,Second Year,BSIT,1.00-1.50,BAM,BSIT,BSBAMM,BSBAFM,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Myself,Parents,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,31-50,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Yes,No
Female,Second Year,BSIT,1.00-1.50,STEM,BSIT,BSECE,BSArch,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Parents,Parents,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Male,Third Year,BSIT,1.00-1.50,TVL,BSIT,BSCS,BSCE,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Teachers,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Strongly Agree,Agree,Agree,Strongly Agree,N/A,Agree,Agree,Agree,Agree,Agree,Yes,No
Male,Third Year,BSIT,2.01-2.50,HESS,BSIT,BSPsy,BSBio,Agree,Agree,Agree,Agree,Disagree,Agree,Myself,Myself,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Yes,No
Female,Third Year,BSIT,1.00-1.50,STEM,BSPsy,BSIT,BSCS,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Myself,Other,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,31-50,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,No,Yes
Male,Third Year,BSIT,1.51-2.00,STEM,BSIT,BSCS,BSCpE,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Myself,Other,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,31-50,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Yes,No
Male,Second Year,BSIT,1.00-1.50,TVL,BSCpE,BSIT,BSCS,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Myself,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,No
Male,Third Year,BSIT,1.51-2.00,STEM,BSIT,BSN,BSPT,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Parents,Parents,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,31-50,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,No,Yes
Male,Third Year,BSIT,1.00-1.50,BAM,BSA,BSCE,BSIT,Agree,Agree,Agree,Agree,Agree,Agree,Myself,Parents,Agree,Agree,N/A,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,N/A,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,No
Male,Second Year,BSIT,2.01-2.50,STEM,BSIT,BSIT,BSIT,Strongly Agree,N/A,N/A,N/A,N/A,N/A,Myself,Other,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,31-50,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Male,Second Year,BSIT,1.51-2.00,TVL,BSIT,BSCS,BSPsy,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Other,Agree,Strongly Agree,Strongly Agree,N/A,N/A,Agree,Strongly Agree,10-30,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Yes,Yes
Female,Third Year,BSIT,1.00-1.50,STEM,BSIT,BSCS,BSCpE,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Parents,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,31-50,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Yes,No
Female,Second Year,BSIT,1.00-1.50,STEM,BSIT,BSCS,BSCpE,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,N/A,N/A,N/A,N/A,31-50,N/A,Agree,N/A,N/A,Agree,Disagree,N/A,N/A,N/A,Agree,N/A,Yes,No
Female,Second Year,BSIT,1.00-1.50,STEM,BSTM,BSIT,BSREM,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Myself,Friends and/or boyfriend/girlfriend,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,31-50,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,No,Yes
Male,Third Year,BSIT,1.00-1.50,TVL,BSCE,BSIT,BSBAHRM,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Parents,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,10-30,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,No,Yes
Female,Second Year,BSIT,1.51-2.00,BAM,BSIT,BSCS,BSBAFM,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Parents,Parents,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,31-50,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,N/A,No,No
