Sex,Year,Current_Course,SHS_Strand,First_Choice,Second_Choice,Third_Choice,Decision_Making1,Decision_Making2,Decision_Making3,Decision_Making4,Decision_Making5,Personal_Assessment1,Personal_Assessment2,Personal_Assessment3,Personal_Assessment4,Personal_Assessment5,Course_Environment1,Course_Environment2,Course_Environment3,Course_Environment4,Course_Environment5,Course_Satisfaction1,Course_Satisfaction2,Course_Satisfaction3,Course_Satisfaction4,Course_Satisfaction5,Academic_Experience1,Academic_Experience2,Academic_Experience3,Academic_Experience4,Academic_Experience5,Same_Course,Different_Course
Female,First Year,BSIT,STEM,BSPsy,BSIT,BSN,Strongly Disagree,Disagree,Agree,Strongly Agree,Family,Strongly Disagree,Strongly Disagree,Strongly Disagree,Family,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,51-70,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,No,Yes
Male,Third Year,BSBA_FM,BAM,BSBA_FM,BS_ENTRE,BSBA_BE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Disagree,Agree,Strongly Agree,51-70,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,No,Yes
Female,Third Year,BSBA_HRM,HESS,BSHM,BSTM,BSBA_HRM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Family,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,51-70,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,No,Yes
Female,Third Year,BSHM,TVL,BSHM,BSBA_HRM,BS_ENTRE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,51-70,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Male,Second Year,BSA,BAM,BSA,BSBA_FM,BSIT,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,51-70,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,Yes
Female,Second Year,BSCS,STEM,BSN,BSCS,BSIT,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Agree,Family,Disagree,Disagree,Disagree,Agree,Disagree,51-70,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,No,Yes
Male,First Year,BSCpE,STEM,BSCS,BSCpE,BSIT,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,51-70,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Yes,Yes
Female,First Year,BSIT,BAM,BSIT,BSTM,BSHM,Agree,Strongly Agree,Agree,Agree,Family,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Strongly Agree,51-70,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Yes,Yes
Male,First Year,BSIT,TVL,BSN,BSBio,BSIT,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Family,Agree,Agree,Agree,Family,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,51-70,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,Yes
Female,Third Year,BSREM,HESS,BSA,BSPsy,BPA,Agree,Disagree,Agree,Strongly Agree,Myself,Agree,Agree,Agree,Teachers,Agree,Agree,Agree,Disagree,Disagree,51-70,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes,Yes
Male,Third Year,BSBA_FM,BAM,BSA,BSBA_FM,BSBA_BE,Agree,Strongly Agree,Strongly Agree,Agree,Myself,Strongly Disagree,Disagree,Disagree,Teachers,Agree,Agree,Agree,Agree,Disagree,51-70,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSBA_FM,BAM,BSA,BSBA_FM,BSBA_BE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Teachers,Agree,Agree,Agree,Agree,Agree,51-70,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Yes,Yes
Female,Third Year,BSA,BAM,BSA,BSCE,BSBA_FM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Agree,Teachers,Agree,Agree,Agree,Agree,Agree,51-70,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSA,BAM,BSA,BSCE,BSBA_FM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Agree,Agree,Teachers,Disagree,Agree,Agree,Disagree,Agree,51-70,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,Yes
Female,Second Year,BSA,BAM,BSA,BSBA_FM,BSBA_MM,Strongly Agree,Agree,Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Teachers,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,51-70,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Yes,Yes
Male,Third Year,BSA,BAM,BSA,BSBA_FM,BSBA_MM,Agree,Disagree,Disagree,Agree,Myself,Disagree,Disagree,Disagree,Teachers,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,51-70,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,No,Yes
Female,Second Year,BSCE,STEM,BSCE,BSME,BSCHE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Teachers,Agree,Agree,Agree,Strongly Agree,Disagree,51-70,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Yes,Yes
Female,Third Year,BSCE,STEM,BS_Arch,BSME,BSCpE,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Myself,Disagree,Strongly Disagree,Strongly Disagree,Teachers,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,51-70,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,No,Yes
Male,Second Year,BSCS,TVL,BSIT,BSCS,BSCpE,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Disagree,Disagree,Disagree,Teachers,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,51-70,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,No,Yes
Male,First Year,BSIT,STEM,BSIT,BSCpE,BSEE,Agree,Agree,Agree,Agree,Myself,Disagree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Disagree,Disagree,Strongly Disagree,51-70,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,First Year,BSIT,STEM,BSIT,BSPsy,BSPT,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Family,Strongly Disagree,Strongly Disagree,Strongly Disagree,Family,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,51-70,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSBA_FM,BAM,BSPT,BSBA_FM,BSPsy,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Teachers,Agree,Agree,Agree,Disagree,Disagree,51-70,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,No,Yes
Female,Third Year,BSREM,BAM,BSA,BSBA_FM,BSPsy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Agree,Agree,Teachers,Agree,Agree,Agree,Agree,Agree,51-70,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,No,Yes
Male,First Year,BSCE,STEM,BSCE,BSECE,BSEd_Math,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Teachers,Agree,Disagree,Disagree,Agree,Agree,51-70,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Female,Second Year,BSIT,TVL,BSIT,BSN,BAC,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Disagree,Disagree,Disagree,Teachers,Disagree,Disagree,Disagree,Agree,Agree,51-70,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,No,Yes
Female,First Year,BSMfgE,STEM,BS_Arch,BSCpE,BSN,Strongly Agree,Agree,Strongly Agree,Agree,Myself,Strongly Disagree,Strongly Disagree,Strongly Disagree,Family,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,31-50,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,No,Yes
Female,Third Year,BSCE,BAM,BSA,BSCE,BSBA_FM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Strongly Disagree,Strongly Disagree,Strongly Disagree,Family,Disagree,Disagree,Disagree,Agree,Agree,31-50,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,No,Yes
Male,Second Year,BSIT,TVL,BSIT,BSCS,BAC,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Disagree,Disagree,Agree,Agree,Agree,31-50,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSBA_HRM,TVL,BSBA_HRM,BSBA_BE,BSHM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Myself,Disagree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,10-30,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,No,Yes
Female,Third Year,BSCE,STEM,BSCE,BSN,BSPT,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Disagree,10-30,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,No,Yes
Male,Second Year,BSREM,HESS,BSN,BSME,BSTM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Agree,10-30,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,No,Yes
Female,d,BSIT,STEM,BSECE,BSEE,BSPsy,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Institution,Agree,Disagree,Disagree,Myself,Strongly Disagree,Disagree,Agree,Disagree,Disagree,10-30,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,Yes
Male,Third Year,BSCpE,TVL,BSA,BSBA_MM,BSIT,Agree,Agree,Agree,Agree,Myself,Strongly Disagree,Strongly Disagree,Strongly Disagree,Myself,Strongly Disagree,Disagree,Disagree,Agree,Agree,10-30,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,No,Yes
Male,Second Year,BSIT,TVL,BS_Arch,BSIT,BAC,Strongly Agree,Agree,Agree,Agree,Myself,Strongly Agree,Strongly Agree,Agree,Myself,Agree,Agree,Disagree,Agree,Disagree,10-30,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,Yes
Male,Third Year,BSIT,STEM,BSBio,BSEE,BSECE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Agree,Family,Agree,Agree,Agree,Agree,Agree,10-30,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,No,Yes
Male,Third Year,BSIT,TVL,BSCE,BSIT,BSBA_HRM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Disagree,Strongly Disagree,Family,Agree,Agree,Agree,Strongly Disagree,Agree,10-30,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,No,Yes
Female,Second Year,BSREM,STEM,BSCE,BSN,BSTM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Family,Disagree,Agree,Agree,Agree,Agree,10-30,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,No,Yes
Female,Third Year,BSIT,TVL,BSIT,BSCpE,BS_Arch,Agree,Agree,Strongly Agree,Strongly Agree,Family,Agree,Disagree,Disagree,Family,Disagree,Disagree,Agree,Disagree,Agree,10-30,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSIT,TVL,BSIT,BSCpE,BSCS,Agree,Agree,Agree,Agree,Family,Agree,Agree,Agree,Family,Agree,Agree,Agree,Agree,Agree,10-30,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes
Male,First Year,BSMfgE,STEM,BSIT,BSN,BSPT,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Family,Disagree,Disagree,Disagree,Family,Disagree,Disagree,Agree,Strongly Disagree,Agree,10-30,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,No,Yes
Male,Third Year,BSIT,STEM,BSME,BSEE,BSIT,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Agree,Family,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,10-30,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSBA_OM,BAM,BSA,BSME,BSEd_Math,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Agree,Disagree,Family,Agree,Disagree,Agree,Strongly Agree,Agree,10-30,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,Yes
Female,Third Year,BSA,BAM,BSA,BSBA_FM,BECEd,Agree,Agree,Strongly Agree,Strongly Agree,Family,Disagree,Disagree,Disagree,Family,Disagree,Agree,Agree,Agree,Agree,10-30,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSIT,STEM,BSIT,BS_Arch,BSCE,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Family,Disagree,Agree,Agree,Disagree,Agree,10-30,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BS_ENTRE,BAM,BSHM,BSBA_HRM,BS_ENTRE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Disagree,Agree,Strongly Disagree,Professionals,Agree,Strongly Disagree,Agree,Disagree,Disagree,31-50,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSBA_HRM,TVL,BSPsy,BSBA_HRM,BSEd_SS,Agree,Disagree,Agree,Agree,Myself,Agree,Disagree,Disagree,Teachers,Agree,Agree,Agree,Strongly Disagree,Disagree,10-30,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSA,BAM,BSA,BSBA_FM,BSBA_MM,Disagree,Agree,Agree,Agree,Family,Disagree,Disagree,Disagree,Teachers,Disagree,Agree,Agree,Agree,Disagree,10-30,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSCE,STEM,BSCE,BSCHE,BSBio,Agree,Strongly Disagree,Agree,Disagree,Myself,Agree,Disagree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,No,Yes
Female,Second Year,BSCHE,STEM,BSCHE,BSPT,BSIT,Disagree,Disagree,Disagree,Agree,Myself,Strongly Disagree,Agree,Disagree,Professionals,Disagree,Agree,Disagree,Agree,Agree,31-50,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,No,Yes
Male,Third Year,BSIT,STEM,BSPsy,BSIT,BSBio,Agree,Strongly Agree,Disagree,Agree,Myself,Strongly Disagree,Strongly Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,31-50,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,No,Yes
Female,Third Year,BSIT,STEM,BSPsy,BSIT,BSCS,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Socioeconomic ,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,31-50,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Yes
Female,Second Year,BSIT,STEM,BSN,BSPsy,BSBio,Disagree,Strongly Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Strongly Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,31-50,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,No,Yes
Male,Second Year,BSCE,SA,BSME,BSCpE,BSIT,Agree,Disagree,Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Disagree,Agree,Agree,31-50,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,No,Yes
Female,Third Year,BSA,BAM,BSA,BSPsy,BAC,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,31-50,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSBA_HRM,HESS,BSPsy,BSBA_HRM,BAC,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,No,Yes
Female,Third Year,BSIT,TVL,BSIT,BAC,BPA,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSBA_FM,BAM,BSBA_FM,BSHM,BSA,Agree,Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,Yes
Female,Third Year,BSHM,BAM,BSHM,BSBA_MM,BSA,Strongly Agree,Strongly Disagree,Agree,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Yes,Yes
Female,Third Year,BSCE,STEM,BSCE,BSBA_FM,BSA,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Disagree,Disagree,31-50,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,No,Yes
Female,Second Year,BSCHE,BAM,BSN,BSPsy,BSBio,Agree,Agree,Agree,Agree,Myself,Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Agree,31-50,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSCS,STEM,BSCS,BSCpE,BSBio,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Disagree,Agree,Disagree,31-50,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Yes,Yes
Female,Third Year,BSBA_BE,BAM,BSA,BSBA_BE,BSBA_FM,Agree,Disagree,Agree,Disagree,Myself,Agree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Disagree,Agree,31-50,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,No,Yes
Female,Third Year,BSBA_FM,BAM,BSA,BSTM,BSBA_FM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Agree,Strongly Agree,Strongly Agree,Agree,Agree,31-50,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,No,Yes
Female,Second Year,BSIT,BAM,BSA,BSIT,BSBA_FM,Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Disagree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Yes,Yes
Female,Third Year,BSIT,TVL,BSA,BSIT,BSBA_FM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Disagree,31-50,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Female,Second Year,BSCE,STEM,BSCE,BS_Arch,BSCHE,Agree,Agree,Agree,Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Disagree,Disagree,Strongly Disagree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,No,Yes
Female,Second Year,BSBA_HRM,TVL,BSTM,BSHM,BSBA_HRM,Strongly Agree,Agree,Agree,Agree,Myself,Disagree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Agree,Agree,Agree,31-50,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,No,Yes
Male,Third Year,BSBA_HRM,TVL,BSPsy,BSSW,BSBA_HRM,Agree,Disagree,Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Disagree,Agree,Strongly Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,No,Yes
Female,Second Year,BSIT,TVL,BSIT,BSCS,BSBA_HRM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,31-50,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Yes,Yes
Male,Third Year,BSBA_FM,BAM,BS_Arch,BSBA_FM,BSBA_MM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,No,Yes
Female,Second Year,BSCE,STEM,BSCE,BSME,BSChem,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,31-50,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,Yes
Male,Second Year,BSCE,STEM,BSA,BS_Arch,BSCE,Agree,Agree,Agree,Strongly Agree,Myself,Disagree,Strongly Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Agree,Agree,Disagree,Agree,31-50,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,No,Yes
Female,Third Year,BSCpE,STEM,BSCE,BSIT,BSCpE,Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Agree,Agree,Agree,31-50,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,No,Yes
Male,Second Year,BSIT,TVL,BSIT,BSCS,BSCpE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,31-50,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,No,Yes
Female,Third Year,BSIT,TVL,BSIT,BSCS,BSCpE,Agree,Agree,Agree,Agree,Myself,Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,No,Yes
